City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Bitung,ID,2021-10-18 21:29:18,1.4451,125.1824,76.05,78,70,6.4
125,Longyearbyen,SJ,2021-10-18 21:29:18,78.2186,15.6401,17.44,73,75,9.22
126,Price,US,2021-10-18 21:29:18,39.5994,-110.8107,58.26,35,75,8.05
127,Fairbanks,US,2021-10-18 21:29:19,64.8378,-147.7164,35.56,69,20,0.0
128,Brenham,US,2021-10-18 21:29:19,30.1669,-96.3977,79.38,44,1,3.44
129,Lompoc,US,2021-10-18 21:27:50,34.6391,-120.4579,72.57,50,1,19.57
130,Karratha,AU,2021-10-18 21:29:19,-20.7377,116.8463,73.56,77,40,8.19
131,Hithadhoo,MV,2021-10-18 21:26:24,-0.6,73.0833,81.75,73,95,7.72
132,Iquitos,PE,2021-10-18 21:29:20,-3.7481,-73.2472,78.84,78,75,6.91
133,Saint-Francois,FR,2021-10-18 21:29:20,46.4154,3.9054,49.68,100,98,4.61
134,Victoria,HK,2021-10-18 21:25:48,22.2855,114.1577,76.32,79,99,1.99
135,Saint-Paul,RE,2021-10-18 21:29:21,-21.0096,55.2707,71.69,91,2,3.0
136,Mikkeli,FI,2021-10-18 21:29:21,61.6886,27.2723,35.71,87,90,6.91
137,Upernavik,GL,2021-10-18 21:29:21,72.7868,-56.1549,27.18,47,100,7.29
138,Axim,GH,2021-10-18 21:29:21,4.8699,-2.2405,78.26,84,100,7.9
139,Tiksi,RU,2021-10-18 21:25:59,71.6872,128.8694,17.11,88,100,11.61
140,Coxim,BR,2021-10-18 21:26:35,-18.5067,-54.76,84.61,55,100,4.52
141,Suez,EG,2021-10-18 21:29:22,29.9737,32.5263,69.96,64,0,8.68
142,Hanna,CA,2021-10-18 21:29:22,51.6334,-111.9018,47.12,72,99,13.0
143,Panama City,PA,2021-10-18 21:27:34,8.9936,-79.5197,82.44,83,40,6.91
144,Khatanga,RU,2021-10-18 21:29:23,71.9667,102.5,31.01,98,100,7.9
145,Banjar,ID,2021-10-18 21:29:23,-8.19,114.9675,78.66,85,98,3.96
146,Los Algarrobos,PA,2021-10-18 21:29:23,8.5,-82.4333,79.45,83,40,5.75
147,Omboue,GA,2021-10-18 21:29:24,-1.5746,9.2618,76.95,84,100,8.48
148,Nha Trang,VN,2021-10-18 21:29:24,12.25,109.1833,78.8,93,100,4.79
149,Aracuai,BR,2021-10-18 21:29:24,-16.8497,-42.0703,77.74,72,90,3.38
150,Bathsheba,BB,2021-10-18 21:29:25,13.2167,-59.5167,83.01,78,40,6.91
151,Mindelo,CV,2021-10-18 21:29:25,16.8901,-24.9804,80.15,69,20,23.02
152,Puerto Ayacucho,VE,2021-10-18 21:29:25,5.6639,-67.6236,82.29,76,89,3.44
153,Sao Joao Da Barra,BR,2021-10-18 21:29:25,-21.6403,-41.0511,71.69,89,97,10.76
154,Anadyr,RU,2021-10-18 21:29:26,64.75,177.4833,32.5,100,90,32.99
155,Pozarevac,RS,2021-10-18 21:29:26,44.6153,21.1825,52.05,71,62,3.87
156,Bud,US,2021-10-18 21:29:27,39.447,-86.1758,72.21,45,0,7.18
157,Kuusamo,FI,2021-10-18 21:29:27,65.9667,29.1833,28.44,74,75,13.8
158,Port-Gentil,GA,2021-10-18 21:29:27,-0.7193,8.7815,78.76,83,20,11.5
159,Yumen,CN,2021-10-18 21:29:27,40.2833,97.2,43.5,26,100,13.98
160,Rio Grande,BR,2021-10-18 21:24:54,-32.035,-52.0986,66.31,68,0,7.49
161,Tianpeng,CN,2021-10-18 21:29:28,30.9866,103.9393,58.64,87,76,1.16
162,Russell,US,2021-10-18 21:29:28,32.3502,-85.1999,73.0,45,1,0.0
163,Letychiv,UA,2021-10-18 21:29:28,49.3826,27.6305,44.78,78,96,11.92
164,Olinda,BR,2021-10-18 21:25:40,-8.0089,-34.8553,80.33,74,40,6.91
165,Mayo,US,2021-10-18 21:29:29,38.8876,-76.5119,68.86,43,75,13.0
166,Gigmoto,PH,2021-10-18 21:29:29,13.7796,124.39,79.47,88,99,6.04
167,Dingle,PH,2021-10-18 21:29:29,10.9995,122.6711,76.53,94,64,6.69
168,Sisimiut,GL,2021-10-18 21:29:30,66.9395,-53.6735,26.87,45,2,15.03
169,Cayenne,GF,2021-10-18 21:29:30,4.9333,-52.3333,82.44,83,75,1.99
170,Nome,US,2021-10-18 21:29:30,64.5011,-165.4064,26.67,64,90,10.36
171,Roald,NO,2021-10-18 21:29:31,62.5833,6.1333,46.17,53,0,11.5
172,Vila Velha,BR,2021-10-18 21:29:31,-20.3297,-40.2925,75.15,88,90,5.75
173,Tuy Hoa,VN,2021-10-18 21:29:32,13.0833,109.3,77.41,90,100,1.92
